## Samples	DCM-100-1	DCM-100-2	DCM-102	DCM-109	DCM-110	DCM-111	DCM-112	DCM-122	DCM-128	DCM-132	DCM-133	DCM-137	DCM-138	DCM-142	DCM-150	DCM-151	DCM-155	DCM-158	DCM-168	DCM-173	DCM-180	DCM-188	DCM-189	DCM-194	DCM-201	DCM-25	DCM-39	DCM-41	DCM-42	DCM-52	DCM-68	DCM-72	DCM-76	DCM-78	DCM-82	DCM-85	DCM-93	DCM-98	MIX-123	MIX-168	SRF-100	SRF-102	SRF-109	SRF-110	SRF-111	SRF-112	SRF-122	SRF-123	SRF-124	SRF-125	SRF-128	SRF-132	SRF-133	SRF-137	SRF-138	SRF-140	SRF-141	SRF-142	SRF-145	SRF-148	SRF-149	SRF-150	SRF-151	SRF-152	SRF-155	SRF-178	SRF-18	SRF-180	SRF-188	SRF-189	SRF-191	SRF-193	SRF-194	SRF-196	SRF-201	SRF-205	SRF-206	SRF-208	SRF-209	SRF-31	SRF-32	SRF-33	SRF-41	SRF-42	SRF-52	SRF-67	SRF-68	SRF-70	SRF-72	SRF-76	SRF-78	SRF-82	SRF-84	SRF-85	SRF-93	SRF-96	SRF-98	SRF-99
aapJ-PRO-HLI	78.1569917	0	1044.917333	120.806211	198.317274	121.2719108	0.239032041	0	237.9933097	107.2311671	119.1716858	65.18056541	124.1679815	8.0399571	4.962791554	7.555759453	0	0	0	0	0	0	0	0	0	14.60898585	8.81926841	755.5405591	130.9810079	1.678644972	47.39982189	28.75865747	40.13278072	42.49954717	0	0	209.8613433	2.474521586	0	0	255.5790055	2162.801272	407.3509035	671.4984292	466.3322463	0	393.849672	12.8958898	61.41242464	237.6385668	228.2010514	5.012475538	420.8361791	90.43867911	82.80683634	154.8756576	2.616228493	0.688573868	7.004446857	0	6.000620563	14.90440742	6.596383992	60.6465106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.92074553	39.09466872	61.72960729	113.0270427	49.12465952	1030.543541	0	61.0453849	1037.133818	23.8622496	16.50326909	24.18241067	0	0	0	189.2230604	4.331743973	0	12.58027929
aapJ-PRO-HLII	132.085316	0	1686.892688	207.3224495	335.8598995	171.7018142	0.478064081	0	451.6394777	216.9560824	164.3994943	137.150773	150.4342853	9.222303733	9.341725279	11.87333628	0	0	0	0	0	0	0	0	0	0	16.17364139	1306.93506	223.2001566	4.842245112	78.39201312	65.63740647	65.93242547	76.70102971	0	0	335.7781493	2.904873166	0	0	460.317026	3478.845441	514.5485097	1422.666164	854.0691702	0	1213.569315	29.01575205	138.7920797	411.050494	351.4820792	7.518713306	508.2657109	163.8641414	159.243916	301.7680339	7.848685478	2.065721604	10.50667029	0	9.000930845	25.96251615	10.94400071	96.11899793	0	0	20.39045097	0	0	0	0	0	0	0	0	0	0	0	0	134.7307432	78.43367911	91.71881367	182.2006369	74.99698021	1546.558849	0	101.7423082	931.3038367	37.4978208	28.80570605	47.77500644	0	0	0	313.0781544	12.99523192	0	20.96713214
aapJ-PRO-HLVI	199.3003288	0	2577.462754	286.9806935	481.3991892	298.9772849	0	0	628.7649333	392.3496968	287.1606887	285.1649737	198.1912012	15.84344487	13.42873009	16.19091311	0	0	0	0	0	0	0	0	0	43.03010378	21.91363981	2206.245147	383.9979793	8.070408519	113.2329078	112.6662699	109.8873758	114.2665925	0	0	536.3123217	5.379394751	0	0	825.8224854	5055.037878	1041.007865	2242.121874	1535.228631	0	1850.773256	67.70342145	249.334444	764.2970122	638.700644	12.02994129	754.8952856	271.3160373	264.3449006	431.0971913	14.9498771	2.754295471	15.50984661	0	15.75162898	15.38519476	10.34432944	148.755592	0	0	81.56180387	0	0	0	0	0	0	0	0	0	0	0	0	203.5712689	112.8858559	138.1254688	279.0436689	125.4316307	2431.368959	0	149.222052	1796.463935	61.3600704	43.80867795	66.35417561	0	0	0	409.4098942	21.65871987	0	34.94522024
aapJ-PRO-LLI	16048.75668	9619.503572	82768.38001	4041.996458	21853.28412	61651.75772	3199.204833	10778.99575	559.9842581	76529.80336	57342.40002	27298.43555	4945.228648	32.39629773	1492.413596	5911.302378	1254.83882	0	0	0	0	0	0	0	0	23789.80379	31.86894958	3971.841694	1074.150754	1156.586386	4451.734554	15306.03418	5351.037429	2859.019669	0	0	3357.781493	1585.307633	35888.33741	0	13439.88308	49111.91189	30641.84019	26154.29475	45118.95475	0	42090.68243	1347.620484	6115.449246	16553.34593	11257.91854	0	1707.485706	4815.635805	4500.233067	304.9613464	45.22337823	19.62435523	71.04510383	0	57.75597292	96.15746723	5.24712363	1529.89405	1069.995864	0	20.39045097	0	0	0	0	0	0	0	0	0	1024.465876	0	0	376.4101602	103.1121887	228.5308866	190.2926423	125.4316307	21752.94504	2620.805014	6691.930749	13260.49667	14.4877944	7.50148595	61.04584156	0	0	0	942.6748825	4.331743973	85.75609226	52.27804948
aapJ-PRO-LLIIxIII	433.7713039	0	2099.396001	671.0283862	681.315796	1738.630958	207.2407793	858.2002984	51.73767602	3154.591312	1099.825438	1246.578313	410.7094773	22.93752467	22.25957977	183.4970153	486.5701549	0	0	0	0	0	0	0	0	906.2883586	1.34531213	525.0423134	111.1741238	14.26848226	83.25353332	563.3313493	444.3272151	69.97286921	0	0	298.469466	39.05440589	177.4893047	0	2268.607194	7049.507918	4935.854223	4484.243747	8242.029477	0	7960.246217	589.9869584	938.9959728	2783.154386	1871.510922	0	167.6820124	853.3471405	586.017611	28.73981275	99.0429358	16.52577283	62.03938645	34.57174251	85.50884303	43.27086025	2.098849452	212.834924	807.1898626	0	0	0	0	0	0	0	0	0	0	0	1024.465876	0	0	30.48651852	4.398150231	9.193771298	10.96336211	13.42740694	8968.554247	1858.38901	43.41005149	703.7693766	0.8522232	0.300059438	2.359259577	0	0	0	134.1763519	0	0	0
aapJ-PRO-LLIV	3.907849585	5816.970395	191.2267014	40.092891	159.9332855	98.45838299	0	0	137.5613504	377.3872084	193.1155631	464.4115285	367.7282529	116.579378	7.882080704	99.8439642	409.7432883	0	0	0	0	0	0	0	0	344.7720661	3.438019889	84.39371366	7.667180951	0	13.36918053	76.80253231	279.3368944	31.84662637	0	0	419.7226866	4.303515801	0	0	4.122242024	433.5804436	605.0709327	773.930393	513.4894398	0	0	2692.016996	174.411286	111.3261754	14.42650325	0	165.7246349	120.883383	50.95805313	119.7492198	1043.875169	117.7461314	645.4097461	478.6856655	171.7677636	387.9953803	44.07583849	683.1314496	769.646148	0	0	0	0	0	0	0	0	0	0	0	0	0	334.3540414	59.25202391	0	425.7591708	88.48999415	12.11741602	0	1167.449506	257.7471807	0	0	2.700534942	10.0268532	0	0	0	368.1248629	3.24880798	0	2.795617619
aapJ-SYN	200.4726837	3146.143521	3211.242679	564.9932402	1393.018916	1056.626549	11.47353795	1939.532674	3182.171414	373.2309616	5449.591969	1732.716697	513.3868466	2449.585753	190.9944926	300.6112868	19181.10768	4800.905993	767.3811541	0	924.6740284	0	1554.63153	1453.851947	0	312.8979151	71.54070951	432.3093	49.62369893	2.259714385	671.0923501	174.5819677	287.9367759	63.35684472	6140.769703	963.139767	27836.94129	10.22085003	0	5417.32324	998.9566504	6641.432206	20832.06814	14386.00025	7497.993758	0	2945.867466	48253.19566	4736.126188	4119.068491	2066.924466	1.253118884	7944.343126	3117.000416	1433.195244	1286.904949	16441.50109	2007.881399	11584.85478	7412.181594	7818.058516	3716.486108	939.5349654	22401.44789	26102.26753	0	22511.05787	0	1070.522688	0	0	0	438.8220714	2866.985109	0	0	5293.073694	11470.17561	10922.23202	410.584564	73.54684552	4022.931641	697.2176235	162.7663719	2535.464267	39145.29671	7611.681215	4098.266031	28.9755888	52.81046109	503.1121048	2562.029764	0	0	16434.8829	94.21543142	0	19.01019981
amt1-PRO-HLI	11760.73093	2489.31464	78984.92069	107097.6677	43847.43368	7388.176186	77050.66286	4811.803638	74684.13149	11942.72872	57769.44661	19298.79329	16670.15292	35658.70754	181533.0199	190711.4974	6406.129918	164.3344213	2836.875145	0	0	0	0	0	0	113392.5097	110199.8039	113530.4029	109218.3259	100999.0122	209621.4735	35394.98764	91816.44108	121737.5643	1471.384538	16269.78483	48129.15837	115286.8442	11916.36224	467.2944556	92040.33971	76780.70037	58465.39442	75062.61579	70484.99905	95507.25971	74121.86549	17890.94393	53851.96412	73379.21162	73937.39842	106768.6437	198479.8678	89092.39344	105485.3739	65042.45686	27084.91132	50411.5216	24629.36519	19248.1454	16655.15656	117497.1113	65632.24864	125231.8322	3184.519252	0	88001.91986	0	0	0	0	0	0	3892.749714	0	0	0	2205.078648	4806.857027	90898.88301	88730.43976	14221.52537	57716.28539	86080.90385	89606.94419	6593.672731	129369.2728	83064.64595	103719.5431	91030.42434	101261.5807	6261.634593	15975.52976	5796.484304	67865.92377	150744.1394	70764.65126	129845.7336
amt1-PRO-HLII	45202.70233	16156.14012	297390.5732	457862.0206	180565.4334	28206.26142	472972.4538	36298.27258	542450.8603	89494.87853	130814.9295	66824.91471	72042.79841	327678.8088	615873.8455	563193.43	9958.954844	1807.678634	1970.052184	0	0	0	0	0	0	338205.9503	816700.7292	542446.2682	774803.0242	636469.7028	589004.0622	238067.8032	717642.0805	646863.1107	16553.07605	125485.0426	123831.0915	681560.0489	68512.70367	467.2944556	401159.3378	331029.6862	310914.7311	329940.0798	262584.3047	746452.4756	320167.422	78518.53255	227408.6569	332939.5902	349403.89	799898.2812	426377.171	402195.0475	679750.6248	414219.141	249586.5914	446815.0083	192170.4034	149027.939	71128.67948	411949.5856	209303.3036	299037.668	6551.203799	0	184197.223	0	0	0	0	0	0	4121.734992	0	0	2454.71386	7190.473853	7370.514109	725561.7883	707860.8994	94096.58309	467261.2668	719573.6135	290117.5407	14283.43651	271950.6562	241717.8154	751816.9062	765860.9749	618373.2184	36833.14466	67027.76619	43618.54439	121605.6849	658384.6504	674048.1594	752561.7875
amt1-PRO-HLVI	2629.008067	3302.816157	15531.88465	37648.98783	14564.84366	1828.055743	6215.345566	6193.65494	5553.19197	3189.587528	3264.5161	6725.440584	8506.72136	4039.759766	8807.257916	8858.041211	1767.208253	164.3344213	78.80208737	0	0	0	0	0	0	4451.804231	8306.914315	53584.51057	16192.58714	9312.831983	8154.198264	6557.320623	6950.209305	9114.734083	0	2596.24226	4384.825462	9831.869147	3827.525344	0	42135.44011	30965.28245	16257.22563	34680.15568	28685.14229	7897.102408	33625.63528	10254.84804	25531.6643	39362.72545	37150.64849	9934.480652	7442.180145	35809.45863	11845.241	5561.852552	3279.25832	4725.438242	2272.577992	1917.74153	1543.661808	5847.950363	2709.859636	5385.13905	1180.700994	0	2330.497212	0	0	0	0	0	0	343.477916	0	0	0	383.4919388	480.6857027	7368.412401	7666.488445	1339.055563	3581.057256	5163.107456	19353.35542	1147.470319	3985.378675	5351.770164	8327.090833	7851.15059	6901.254951	368.3314466	5556.706005	1738.945291	4355.072217	7411.566096	6605.752839	7483.625972
amt1-PRO-LLI	748508.2886	58718.53945	246026.0739	18852.36576	416034.4297	628538.7318	325368.4348	420304.8788	6815.479933	471448.2838	449395.2679	511973.9204	537274.2911	15809.21892	45889.0244	99565.19014	14027.21551	1314.67537	7801.40665	0	1728.170709	0	0	0	0	350160.4843	13731.98487	65495.85622	26410.14958	51010.87301	64770.98923	417877.3075	69567.11675	136821.7693	0	346.1656347	30030.02025	115738.4156	389820.6979	0	18953.49071	20863.52364	11161.21726	60360.97867	52229.10558	12435.59442	24563.81544	31536.2649	24372.41832	23014.6829	50331.12953	7945.386627	16804.93804	15144.70921	10093.86695	9754.474791	9149.737883	9272.688805	11423.66946	10803.35375	16190.38657	27044.82641	11887.5613	50293.1025	15436.82213	0	21370.21971	0	0	0	0	0	0	5839.124572	0	0	1350.092623	3163.808495	8091.542663	9259.602316	8032.872437	4112.363942	3813.915105	5399.934289	7605.585407	11080.79547	41769.92795	204282.05	9517.375353	7885.661142	8444.524373	1104.99434	3472.941253	0	25168.40996	3815.932885	6412.191213	3932.319898
amt1-PRO-LLIIxIII	38356.43835	46223.15616	50456.28802	50291.43019	75022.33822	27179.16684	20586.77504	103466.1162	6339.004511	73971.78105	35946.31646	88831.45433	108843.4655	10590.98341	10838.62457	17039.11129	28293.74047	1807.678634	4491.71898	0	1595.234501	0	0	0	0	23805.773	14351.94811	44346.47985	13409.11067	17389.44487	11534.05309	72515.27877	13919.42201	14673.99883	367.8461345	1384.662539	31954.24794	14368.23309	71600.24078	467.2944556	63296.50036	60196.21576	25839.63922	50249.00122	48315.78326	4621.641566	56859.06416	32609.25803	51395.73996	66923.40455	64885.1862	6716.908034	6208.695536	54045.67357	11430.86361	8761.696735	8593.881299	7048.065135	7476.957819	6936.52005	8814.993676	11580.81489	5815.109196	13188.53208	22858.37124	0	11637.82884	0	0	0	0	0	0	11105.78595	0	0	6627.727422	7094.600869	16503.54246	6718.575441	6678.867548	3779.094884	4599.739983	5286.699988	28880.91448	19267.22551	6685.528797	17746.04385	7667.319125	6947.405508	6927.32942	6261.634593	6251.294256	2318.593722	16903.41772	5459.228341	5762.465243	5806.441698
amt1-PRO-LLIV	5965.058906	260548.2657	17009.56885	27564.30886	17774.65056	3215.064988	2816.690898	50338.86883	1816.207049	22168.17109	10224.96396	20929.88345	25144.26174	11990.264	4943.931253	8639.625882	40130.35409	11010.40622	5831.354465	0	0	0	0	0	0	4277.863862	2578.104966	14031.72631	2410.999051	3491.273573	4638.054272	15775.55827	3994.83634	2214.017007	0	0	37311.24418	1528.723019	52220.20412	5763.298285	34854.90543	34397.31376	16248.66379	21827.47236	26365.02049	7.367681841	32626.69451	34426.16219	32435.93206	34869.05283	33296.71769	229.3376228	3927.921522	30819.79542	2779.304712	4674.664763	9427.263186	5534.707282	8485.753715	8783.149155	11724.38911	7454.659259	5259.149367	11184.83592	30279.92034	0	11901.65872	0	0	0	0	0	0	5266.661378	0	0	17919.41118	39020.30478	19547.88524	675.1093798	722.405255	4810.844276	801.0234962	422.3333383	22055.66321	31872.2726	3227.698413	4766.004276	588.7099456	724.5059019	1536.273833	6998.297486	0	0	17494.4809	1906.409555	138.0821795	1061.051158
amt1-SYN	31013.8118	90884.38941	113748.3007	256602.6352	120939.1316	20452.12885	14825.5571	132238.2344	31965.41908	53658.92454	75165.92183	121392.7384	101618.9315	117417.1831	42729.05076	36914.13031	247538.0144	37796.91689	26004.68883	1006.108172	132.9362084	733.4584879	670.5070585	0	1314.192498	14633.33025	24518.92407	76973.91817	25456.98705	30374.13114	32088.81815	52522.77137	20361.34747	26288.58035	3862.384412	6923.312693	303340.7504	24389.26886	105690.7332	10280.47802	298788.3628	278390.5394	150376.7685	254075.7053	245831.2174	16147.85354	271058.2048	442828.672	298557.0478	320344.9954	279760.6831	23881.73916	36920.58629	271105.0347	40979.86354	73236.03205	145299.9439	62393.65306	108935.9307	95094.51703	123107.4336	69533.27376	50242.43138	96399.49997	232139.3091	112.5944044	130991.5319	0	384.7605283	547.5644321	0	404.0726177	883.2245392	33202.86521	594.1521602	594.7540333	60385.96095	102200.6017	143564.7966	19904.06251	17190.8915	78727.02607	14613.37805	13576.34539	128243.1043	149616.4285	37105.85499	40221.95707	17973.72508	15956.16943	24194.56397	39043.13334	42601.41271	869.4726456	178204.3122	21712.36231	12608.62902	18912.23211
cynA-PRO-HLI	0	0	0	14.05081821	6.233817537	71.76135839	190.5305666	0	527.0867727	78.30027765	56.89692593	0	27.92175807	4234.908698	90.41318988	178.8068863	0	0	0	0	0	0	0	0	0	58.32275845	3.049117594	44.63964933	234.789695	1410.049225	190.1484005	440.0253862	679.509969	71.3167858	0	0	0	118.397026	0	0	0	0	510.6819294	0	432.287959	1191.854496	0	0	27.52766104	29.20634544	25.55957479	508.1360605	579.8336675	41.88218304	244.1399375	87.12738756	695.6106692	1684.592371	419.2755104	415.313796	84.78507415	233.6246129	225.94629	567.1768072	0	0	2000.173898	0	0	0	0	0	0	0	0	0	0	0	0	845.6995283	247.9376961	123.4320972	1364.050682	544.6433893	1012.414533	0	1254.033678	720.156241	1290.504738	413.4394718	151.9227818	0	627.7211728	0	0	1793.232499	3491.869042	951.8223661
cynA-PRO-HLII	0	0	0	45.57948345	19.7404222	234.0044295	597.2131698	0	1726.377232	293.7610417	152.036048	0	88.41890055	14728.16694	249.9045222	473.6629479	0	0	0	0	0	0	0	0	0	174.6231703	10.02130368	169.4573096	779.2195417	4600.118353	493.9910695	1751.090036	2341.040131	234.3473952	0	0	0	357.5674056	0	0	0	0	1790.481795	0	1014.344975	4323.207251	0	0	82.18403152	33.3786805	80.08666768	1841.72865	1399.569276	114.5943064	856.5587637	258.2704703	2373.574137	5812.201532	1448.938159	1403.843555	244.1225411	699.6245093	580.7403996	1525.356236	0	0	12504.39841	0	0	0	0	0	0	0	0	0	0	0	0	2814.047212	804.2895686	460.8795242	4754.845989	1807.109746	3869.973872	0	3065.905245	2158.749973	4429.570317	1392.751073	491.785348	0	1987.783714	0	0	5195.379367	10472.26456	2911.948067
cynA-PRO-HLVI	278.9969841	558.7419818	1141.991896	410.215351	629.6155712	1129.46138	342.2407244	2374.992472	8116.661804	908.8232227	649.1845975	572.5132733	2480.382842	989.9068357	239.568877	641.6011804	1646.990285	0	0	0	0	0	0	0	0	715.9204876	116.4685236	732.2202674	143.6824386	149.9427699	696.7721665	394.08867	675.9924082	325.3327532	0	312.840734	587.7405319	107.4239841	2202.264775	0	4959.506294	4248.178551	14210.88533	11925.90468	11045.46793	1982.302291	6943.455974	1233.5893	1812.437161	7346.091267	5369.214678	936.494271	4097.40648	3883.409083	8491.104266	1665.792672	3649.952946	2772.465086	2484.451164	2440.40045	959.4356954	2606.101297	1245.918486	8243.762505	1280.443794	0	3073.114862	0	0	0	0	0	0	103.4705861	0	0	221.8401854	346.573685	796.4196824	2951.563226	1353.657281	1141.462493	7125.994758	3080.639171	5774.047388	3745.599763	3600.830363	3772.656203	1967.590665	743.6452545	1314.429012	0	0	261.9232273	2773.621092	1654.642149	2520.296035	1446.167048
cynA-SYN	0	0	0	0	0	6.240118121	0.155281635	0	42.30929084	2.700009574	0	5.292880801	0	182.1895573	3.603252455	3.856619117	0	0	0	0	0	0	0	0	0	0	0.893372034	1.083486634	4.634917374	13.29562463	0.789543531	8.791716007	9.311190196	0.947005327	0	0	0	4.892439092	0	0	0.892639722	0	4.642562994	0	0	77.99845866	0	0	0	0	0	7.000913361	11.86794056	0	0	48.7498478	103.9167073	61.95327757	174.2105997	213.8762394	3.410893788	12.18096244	11.10253321	7.433509924	0	0	2119.38956	0	0	0	0	0	0	0	0	0	0	0	0	34.97794083	6.031774937	4.266086309	308.6240977	135.5225934	0	0	19.38773078	0	16.60881259	5.847800167	15.51796384	0	0	0	0	12.66307767	2.228378457	6.901211584
fliY-SYN	1086.815417	133.7610776	27443.52515	16759.57157	10525.29095	4124.112282	0	0	2.877689995	0	17218.97417	1763.886364	22.57835457	8.105295197	296.650662	352.7534282	2451.731511	21616.72604	5701.141104	0	1967.239287	0	0	0	1080.439318	94.81135343	109.079515	14.19345424	34.48655425	219.7728388	1410.65111	83.57800357	0	29.15840728	8165.285173	0	149945.2665	7.248268798	0	256.1183914	61.71515904	19347.12782	1317.693643	1399.014942	532.5984722	0	582.8303002	354.3808902	139.3649288	425.1079744	398.3800121	0.592445344	717.9580337	379.9472537	0	56.61463453	18.55337599	7.731614045	59.13462311	57.83513647	144.507307	146.6117407	71.94080787	2311.362354	1763.885525	0	385.605161	0	0	0	2773.119773	0	0	12989.66788	0	0	7063.34331	65893.70416	31088.04053	0	0	0	8.638702615	0	0	44465.19284	1954.519702	469.0682222	0	0	4.531323999	38760.57086	0	0	3240.900653	0	0	0
focA-PRO-HLVI	13.1931406	184.4480737	0	3.070691162	1.861877967	6.989099199	3.617527367	0	0	5.806239245	13.37202966	11.06591372	30.57815773	9.635077505	9.770736829	3.76975991	59.62579948	0	765.7318179	0	0	0	0	0	0	28.75760282	0	34.17311773	16.11606175	3.231962517	5.895399154	11.02859193	2.966409121	2.74142735	0	0	38.00408917	0.125249432	0	0	0	0	0	0	0	0	26.09370634	26.27251906	12.15395207	0	39.6966716	0	7.59566335	1.042425894	0	3.717523979	1.740403613	12.82575303	38.4416569	56.96499901	78.58886961	5.597129738	60.73581315	14.65328469	54.63357323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.72234749	0	0	0	27.73667384	17.37182163	0	0	0.349316939	4.119830415	0	0	0	176.2286048	0	0	0
focA-PRO-LLI	8894.451445	3135.617253	1157.615228	62.02796148	3383.032266	15222.25806	5138.836761	6174.32506	260.0557191	3078.274506	2841.556303	2137.302193	4000.178997	2297.002477	3265.550174	772.1724883	387.5676966	0	0	0	0	0	0	0	0	6664.342538	64.52568563	5220.332064	5226.810734	1255.955666	2787.580536	3893.486829	958.5209471	1262.231478	0	0	287.7452465	929.100285	4566.430115	126.1325277	0	0	63.78414866	662.4839293	304.9915442	0	26.09370634	1598.870446	1345.513988	209.3560837	764.9243259	0	187.6128847	1.042425894	0	315.9895382	3258.035564	4217.668724	7235.768238	9209.754297	7526.19408	2793.527452	7002.24586	1798.357667	1092.671465	0	712.1318984	0	0	0	0	0	0	0	0	0	0	0	0	303.1059493	274.4967594	11721.32816	378.6385813	58.33270002	0	915.3102367	2912.149008	13860.33082	24.80308578	133.0897536	1330.361905	0	0	0	1373.782078	0	0	0
focA-PRO-LLIIxIII	58.68672888	4558.502392	365.7300858	25.17966753	865.7732547	129.9972451	8.90468275	3576.712575	88.57483622	833.1953316	417.0401751	850.4945118	1206.447314	628.7576292	143.9272016	270.7944202	864.5740924	0	6636.342422	0	0	0	0	0	0	32.15903971	2.540655367	1581.671687	235.0465621	8.26781109	39.14545038	1067.804026	390.4536005	40.33814529	0	0	890.3815176	27.93062329	0	3027.180666	23.99472873	647.2761594	382.704892	172.2458216	384.2893457	0	33.54905101	487.9182111	385.3517745	17.4463403	332.8413234	0	227.1103342	94.86075633	0	66.91543163	642.2089332	915.4381228	1580.185078	1617.310624	2940.096933	592.7360392	4660.950074	492.8832123	3540.255545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.60776992	23.60956584	2282.544923	82.96013861	4.956373204	0	3439.347556	358.4912282	0	0	15.02062836	144.5373837	0	0	0	3616.691594	0	0	0
focA-PRO-LLIV	176.5151225	7061.726249	535.8740822	106.2459142	1649.623879	575.901774	25.32269157	6514.012846	481.847109	1132.216653	651.886446	2025.062211	2012.598745	4183.550653	284.0310715	275.8207668	3368.85767	0	2552.439393	0	0	0	0	0	0	97.09556221	23.0399158	1096.258083	283.7666565	38.55806445	290.0536384	1530.611008	393.4200096	93.20852989	8936.041502	0	1498.446944	34.94459147	2148.908289	0	153.5662639	23.75325356	1114.83599	781.7310366	853.9763239	0	991.5608409	2713.575897	6305.041371	625.5759166	1195.480533	2.917659616	609.931767	350.2551003	37.0770522	1375.483872	5545.361012	6899.453523	13160.44299	14597.281	10351.02734	1281.74271	6705.72245	1634.507301	6512.321929	0	5222.300588	0	0	0	0	0	0	0	0	0	0	1397.418469	2075.953678	153.9858364	117.1944714	21023.26572	584.0636865	0	2035.882861	3994.081033	1977.229153	0	19.84246862	40.87008181	951.6808259	0	0	0	12107.70619	0	0	0
focA-SYN	102.3605736	4927.39854	1823.880036	875.1469813	2027.585106	863.852661	6.956783398	2717.502292	5349.211509	417.0815191	3444.13339	1852.750126	447.5530358	36753.14079	2481.852117	1709.586119	19915.01702	0	29863.5409	0	0	0	0	0	0	576.3889426	141.6850411	1063.638289	251.1626238	58.77662066	1292.50731	429.721207	275.1344459	252.080772	5957.361002	0	12047.29627	14.52893409	4773.055912	9459.93958	435.1044143	4524.994803	9270.887347	3219.671896	5105.558451	0	2422.987017	35152.6305	35953.53504	3043.140216	4172.730903	44.0566602	3971.012799	941.3105821	241.0008393	9933.224073	54653.02446	55397.63379	113712.1685	131978.6149	105075.9383	10916.64184	85003.26106	10988.6314	42209.89868	0	40140.50134	0	0	0	0	0	0	4635.592959	0	0	0	14439.99085	8693.056027	1769.406023	2386.557318	237123.7224	5685.048619	810.5576486	4326.25108	38609.44998	9129.681896	0	138.8972804	954.683193	12928.37116	0	2624.774145	0	77993.17321	63.03549195	0	73.22723583
glnQ-PRO-HLI	39.11361903	0	373.5545594	117.5013027	101.4572733	69.39920841	26.62042741	0	141.5806002	37.49843256	25.30094934	17.22864844	63.9575313	7.667158899	2.160569445	1.521639931	144.4054787	0	0	0	0	0	0	0	0	0	4.551621219	441.0869701	17.41377863	1.911334127	13.70673143	5.723513903	17.06255708	16.91455918	1442.79083	0	6.574333759	4.09504792	0	0	104.6014741	294.826441	315.6692225	256.7111815	384.0967195	0	410.7698719	0	37.2268692	359.1473949	136.8144365	0	131.5289052	49.22993445	121.2239475	42.76582393	7.903158715	1.456041017	6.347754644	0	0	0	7.39695728	51.61925596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.98298556	2.41116765	5.554548004	71.38845971	30.4708131	8.385421849	0	42.07216073	328.2186194	13.2153251	6.344981557	17.87664471	0	0	0	145.500485	9.159797074	0	1.970514281
glnQ-PRO-HLII	71.61648555	0	625.8001639	198.562328	225.4606073	176.0370165	55.26265943	0	270.2902367	104.2925156	88.04730371	32.5430026	148.1121778	19.66792935	4.526907409	2.282459897	216.6082181	0	0	0	0	0	0	0	0	0	8.091771056	865.2452292	40.9824273	5.734002381	29.41236119	16.21662272	41.75836337	35.88415826	2164.186246	0	19.72300128	9.706780255	0	0	215.0141413	690.3253253	544.0256814	722.0001981	487.5073748	0	798.9699706	0	70.12503267	546.2662057	251.4427482	0	211.5499874	87.09911479	184.0808092	67.52498516	11.0644222	4.368123051	19.04326393	0	0	0	11.41244837	96.78610492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.37509748	4.133430257	16.66364401	109.2905801	52.63140445	0	0	97.53091805	701.1943232	32.43761617	17.76594836	37.83196904	0	0	0	218.2507275	27.47939122	0	5.911542844
glnQ-PRO-HLVI	61.70035678	0	980.0993337	205.9991193	241.2428498	132.0277623	39.42518996	0	416.161158	73.82503911	76.914886	89.97183073	87.52083231	20.00128408	7.099013892	3.804099829	288.8109575	0	0	0	0	0	0	0	0	0	12.72768156	1414.017611	61.84893791	0.182031822	31.41125952	20.50925815	24.24679164	48.05631767	2885.581661	0	92.04067263	7.431753633	0	0	158.8392755	553.698438	376.1165205	449.2445677	310.2319658	0	266.3233235	0	51.94446865	742.4391526	264.3846543	0	316.4051985	136.3290492	264.8967743	112.5416419	0	2.912082034	27.50693679	0	0	0	19.02074729	159.6970731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.114814	79.71605467	5.511240343	27.77274002	182.1509668	79.40878566	0	0	74.58246675	1174.873467	39.64597531	29.60991393	54.04567005	0	0	0	315.2510508	45.79898537	0	9.852571406
